   21.00   22.00   29.00   31.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   20.00   25.00   26.00   16.00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   28.00   27.00   18.00   30.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00     .00     .00    1.00     .00     .00
   17.00   23.00   24.00   32.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   37.00   28.00   24.00   32.00    1.00    1.00     .00    1.00    1.00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00
   17.00   24.00   24.00   32.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   27.00   18.00   22.00   28.00    1.00    1.00    1.00    1.00    1.00    1.00     .00    1.00     .00    1.00     .00     .00    1.00    1.00    1.00     .00
   19.00   24.00   14.00   18.00     .00     .00     .00    1.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   20.00   27.00   15.00   17.00     .00     .00     .00     .00    1.00     .00     .00    1.00    1.00    1.00     .00     .00     .00     .00     .00     .00
   27.00   25.00   24.00   32.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   31.00   25.00   21.00   25.00    1.00    1.00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   12.00   22.00   26.00   32.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   24.00   28.00   20.00   21.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00     .00    1.00     .00     .00    1.00     .00     .00     .00
   10.00   26.00   27.00   25.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   14.00   23.00   23.00   32.00     .00    1.00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   25.00   33.00   21.00   27.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   30.00   27.00   18.00   25.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   11.00   30.00   24.00   27.00     .00     .00    1.00     .00     .00    1.00     .00    1.00     .00     .00     .00     .00    1.00    1.00     .00     .00
   19.00   24.00   24.00   30.00    1.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   30.00   29.00   18.00   21.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00     .00     .00    1.00     .00     .00     .00
   25.00   31.00    6.00   26.00    1.00    1.00    1.00    1.00     .00     .00    1.00     .00    1.00     .00     .00     .00     .00     .00     .00     .00
   17.00   25.00   22.00   22.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   17.00   25.00   16.00   32.00    1.00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00    1.00     .00     .00     .00
   22.00   25.00   10.00   21.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00     .00     .00     .00    1.00    1.00    1.00     .00
   15.00   30.00   17.00   28.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   29.00   26.00   22.00   31.00    1.00    1.00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   23.00   23.00   18.00   19.00     .00    1.00     .00    1.00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00
   30.00   27.00   20.00   18.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00     .00    1.00     .00     .00     .00     .00     .00     .00     .00
   23.00   23.00   30.00   32.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   19.00   25.00   24.00   25.00    1.00     .00     .00     .00     .00     .00     .00    1.00     .00    1.00     .00     .00     .00     .00     .00     .00
   17.00   25.00   24.00   30.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   17.00   24.00   23.00   27.00    1.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   21.00   27.00   12.00   26.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   28.00   23.00   10.00    8.00     .00     .00     .00    1.00     .00     .00     .00     .00    1.00     .00     .00     .00     .00     .00     .00     .00
   21.00   30.00   14.00   28.00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00     .00
   29.00   33.00   18.00   29.00    1.00    1.00    1.00    1.00    1.00    1.00    1.00     .00    1.00     .00     .00     .00     .00     .00     .00     .00
